grade,subject,source,mean_word_frequency_rank,mean_sentence_length,type_token_ratio,avg_syllables_per_word,pct_rare_words,mean_log_freq_rank,lexical_density,flesch_kincaid_grade,gunning_fog,sentence_length_variance,subordinate_clause_ratio,long_word_ratio,word_count,sentence_count
1,English,English/Class-1/Chapter-01-Two-Little-Hands.md,1115.11,4.5,0.2222,1.0,0.0,4.7316,1.0,-2.035,1.8,0.25,0.0,0.0,63,14
1,English,English/Class-1/Chapter-01-Two-Little-Hands.md,20000.0,6.0,0.8333,1.3333,100.0,9.9035,1.0,2.483,9.067,0.0,0.0,0.1667,6,1
1,English,English/Class-1/Chapter-01-Two-Little-Hands.md,628.39,11.5,0.8261,1.087,0.0,4.499,0.7419,3.281,4.6,6.25,0.5,0.0,23,2
1,English,English/Class-1/Chapter-01-Two-Little-Hands.md,18019.33,6.0,1.0,1.0,100.0,9.7635,1.0,-1.45,2.4,0.0,0.0,0.0,6,1
1,English,English/Class-1/Chapter-02-Greetings.md,2113.6,5.0,1.0,1.2,60.0,6.2625,0.5556,2.08,2.0,0.0,1.0,0.0,5,1
1,English,English/Class-1/Chapter-02-Greetings.md,407.11,9.0,0.8889,1.2222,22.22,4.8348,0.6923,3.902,3.6,0.0,1.0,0.0,9,1
1,English,English/Class-1/Chapter-02-Greetings.md,731.11,9.0,0.8889,1.4444,44.44,5.0923,0.6923,6.524,12.489,0.0,1.0,0.2222,9,1
1,English,English/Class-1/Chapter-02-Greetings.md,518.0,9.0,0.8889,1.2222,44.44,4.9589,0.6923,3.902,3.6,0.0,1.0,0.0,9,1
1,English,English/Class-1/Chapter-02-Greetings.md,371.0,7.0,1.0,1.0,28.57,4.929,0.6364,0.5,2.8,0.0,1.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,2125.22,5.75,0.8696,1.5217,0.0,5.1778,0.8214,5.097,4.039,23.1875,0.0,0.0435,23,4
1,English,English/Class-1/Chapter-02-Greetings.md,603.45,10.0,0.8,1.45,0.0,4.7176,0.9524,5.615,4.0,9.0,0.5,0.0,20,2
